,local,supermarket,online
1,19.25,8.67,17.9
2,20.37,12.5,13.59
3,21.6,11.38,17.81
4,20.94,12.56,15.78
5,16.92,14.82,19.25
6,14.67,10.54,16.02
7,19.38,9.54,20.69
8,20.05,13.51,17.06
9,12.67,11.73,15.71
10,19.73,9.31,17.69
