Item,Value ($)
Revenue,6916.0
Ingredients,1685.0646
Prep labor,303.86666666666673
Decor labor,0.0
Packaging labor,141.28333333333333
Packaging material,191.79999999999998
Oven (rental+energy),247.5
Transportation,115.59999999999998
Total cost,2685.114600000001
Profit,4230.885399999999
