Item,Value ($)
Revenue,10000.150000000001
Ingredients,2413.3299999999995
Prep labor,480.1333333333333
Decor labor,0.0
Packaging labor,223.18333333333334
Packaging material,295.3000000000001
Oven (rental+energy),352.29333333333335
Transportation,234.99999999999997
Total cost,3999.239999999998
Profit,6000.909999999998
