Item,Value ($)
Revenue,9732.349999999999
Ingredients,2414.4626
Prep labor,479.2
Decor labor,0.0
Packaging labor,223.06666666666663
Packaging material,295.90000000000003
Oven (rental+energy),349.2866666666667
Transportation,236.2
Total cost,3998.1159333333326
Profit,5734.234066666667
