,Local,Supermarket,Online
1,1.6692222222222226,1.4692222222222227,25.151562910428158
2,1.4831666666666667,1.2831666666666668,1.0831666666666666
3,2.700666666666666,2.500666666666666,21.3613496008435
4,2.095833333333333,1.8958333333333335,1.6958333333333333
5,6.121,5.921,5.721000000000001
6,3.976,14.286200877080939,3.576
7,35.21969080553295,13.214095472239295,0.23566666666666658
8,2.1169555555555553,15.525809994508514,20.620479326352154
9,30.13552184007343,1.8493444444444447,1.6493444444444445
10,28.299253034547153,2.9546666666666668,2.7546666666666666
