combo_id,status,profit,prices
31,Optimal,4277.8554,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 14.13, ""2-Online"": 9.04}"
32,Optimal,4428.4514,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 14.13, ""2-Online"": 12.92}"
33,Optimal,4439.2387333333345,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 14.13, ""2-Online"": 16.79}"
34,Optimal,4295.386066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 14.13, ""2-Online"": 20.67}"
35,Optimal,4027.122066666669,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 4.76, ""2-Supermarket"": 14.13, ""2-Online"": 24.55}"
36,Optimal,4331.952733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 5.16}"
37,Optimal,4586.324733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 9.04}"
38,Optimal,4733.282066666666,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 12.92}"
39,Optimal,4747.708066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 16.79}"
40,Optimal,4603.8554,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 20.67}"
41,Optimal,4331.952733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 4.96, ""2-Online"": 24.55}"
42,Optimal,4439.044733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 10.42, ""2-Supermarket"": 6.8, ""2-Online"": 5.16}"
